"id","age_group","card_type","PIN_Change_Due","id.y","age_group_num"
825,"46-60","Debit",1,4524,3
825,"46-60","Debit",1,2731,3
825,"46-60","Debit",1,3701,3
825,"46-60","Credit",1,42,3
825,"46-60","Debit (Prepaid)",1,4659,3
1746,"46-60","Credit",1,4537,3
1746,"46-60","Debit",1,1278,3
1746,"46-60","Debit",1,3687,3
1746,"46-60","Debit (Prepaid)",1,3465,3
1746,"46-60","Debit (Prepaid)",1,3754,3
1718,"60+","Debit",1,5144,4
1718,"60+","Debit",1,2029,4
1718,"60+","Debit",0,2379,4
1718,"60+","Debit",1,2732,4
1718,"60+","Debit",1,4706,4
708,"60+","Credit",1,281,4
708,"60+","Debit (Prepaid)",1,1106,4
708,"60+","Debit",1,5621,4
708,"60+","Debit",1,5165,4
1164,"31-45","Debit",1,5757,2
68,"31-45","Credit",0,27,2
68,"31-45","Debit",1,4648,2
68,"31-45","Credit",1,5435,2
1075,"31-45","Debit",1,3287,2
1075,"31-45","Credit",1,4761,2
1075,"31-45","Debit",1,5286,2
1711,"18-30","Debit",0,744,1
1116,"60+","Debit",1,5559,4
1116,"60+","Debit",1,4905,4
1116,"60+","Credit",1,79,4
1116,"60+","Credit",1,301,4
1116,"60+","Debit",1,3115,4
1752,"31-45","Debit",1,3880,2
192,"18-30","Debit",0,1766,1
192,"18-30","Debit",0,1767,1
640,"18-30","Debit",0,745,1
1679,"18-30","Debit",0,1459,1
1094,"31-45","Debit",1,138,2
1094,"31-45","Debit",1,3755,2
1094,"31-45","Credit",0,1768,2
1590,"46-60","Debit",1,5924,3
1660,"31-45","Debit (Prepaid)",1,6074,2
1660,"31-45","Credit",1,5923,2
1660,"31-45","Credit",1,4223,2
1660,"31-45","Debit",1,4455,2
1660,"31-45","Credit",1,3234,2
1660,"31-45","Debit",1,1005,2
1747,"46-60","Debit",1,151,3
1747,"46-60","Debit",1,4198,3
1747,"46-60","Debit",1,4403,3
1747,"46-60","Credit",1,4120,3
1747,"46-60","Debit",1,4224,3
1747,"46-60","Credit",1,4895,3
153,"60+","Credit",1,1028,4
153,"60+","Debit",1,5956,4
153,"60+","Debit",1,107,4
153,"60+","Debit",0,440,4
429,"18-30","Debit",0,746,1
429,"18-30","Debit",0,1769,1
429,"18-30","Credit",0,421,1
511,"60+","Debit (Prepaid)",1,974,4
511,"60+","Debit",1,4707,4
511,"60+","Debit",1,7,4
511,"60+","Debit",1,2212,4
511,"60+","Credit",1,1038,4
309,"18-30","Debit",0,1460,1
309,"18-30","Credit",0,747,1
309,"18-30","Credit",0,1770,1
777,"18-30","Debit",0,748,1
777,"18-30","Debit",0,441,1
1946,"60+","Debit",1,3679,4
1946,"60+","Credit",1,5701,4
1674,"60+","Debit",1,4510,4
1674,"60+","Credit",1,2873,4
482,"31-45","Credit",0,1461,2
877,"31-45","Debit",0,442,2
877,"31-45","Credit",1,3877,2
877,"31-45","Debit",1,2296,2
128,"31-45","Debit",1,5048,2
128,"31-45","Credit",0,1462,2
775,"31-45","Debit",1,4269,2
1536,"31-45","Debit",1,5188,2
1536,"31-45","Credit",1,2874,2
140,"31-45","Debit",1,3041,2
140,"31-45","Debit",1,5312,2
140,"31-45","Debit",1,4150,2
